number,value,datetime_start,datetime_complete,duration,params_cat_smooth,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.22663678277741578,2024-11-07 14:03:08.928121,2024-11-07 14:03:12.082347,0 days 00:00:03.154226,36,0.7031084099167366,0.03972051818699726,8,55,41,0.006461310648136918,0.00027082435694822274,0.7996603605460656,COMPLETE
1,0.2298125508257923,2024-11-07 14:03:12.088179,2024-11-07 14:03:16.211756,0 days 00:00:04.123577,27,0.3991286195342055,0.019775652305276562,5,55,46,0.00015921505853262036,2.0012333381493925,0.8630405064532578,COMPLETE
2,0.23067499975951594,2024-11-07 14:03:16.215742,2024-11-07 14:03:21.277627,0 days 00:00:05.061885,1,0.6789159434532228,0.012837645679696837,5,66,69,0.00298057998218982,0.000438598938989532,0.8844050319780927,COMPLETE
3,0.2300476414528907,2024-11-07 14:03:21.283476,2024-11-07 14:03:23.899145,0 days 00:00:02.615669,48,0.4852363192411012,0.014096857881106754,4,81,48,0.009479395725718669,0.7883961561162917,0.5992417156100796,COMPLETE
4,0.22505570507094852,2024-11-07 14:03:23.904035,2024-11-07 14:03:25.138956,0 days 00:00:01.234921,70,0.5540341413685324,0.07099528314713667,5,58,84,0.0001852820893025542,0.008915045494394234,0.9947787887027313,COMPLETE
5,0.2272825957797488,2024-11-07 14:03:25.143255,2024-11-07 14:03:27.819869,0 days 00:00:02.676614,39,0.8336779125151599,0.06847135599995821,7,10,45,0.25239663179745486,0.00036474018929932064,0.5978037798007398,COMPLETE
6,0.23103992380484475,2024-11-07 14:03:27.824995,2024-11-07 14:03:29.649611,0 days 00:00:01.824616,19,0.34505907844861927,0.17737808571403163,8,25,72,0.00015388400686623275,0.0004169727304719794,0.6830143160982854,COMPLETE
7,0.23087057804981187,2024-11-07 14:03:43.072707,2024-11-07 14:03:52.548793,0 days 00:00:09.476086,7,0.3938621905778729,0.006631874204698513,8,93,68,0.001511846672540277,0.00013476736847611046,0.6774490760635223,COMPLETE
8,0.24254249866421285,2024-11-07 14:03:52.555588,2024-11-07 14:03:54.149007,0 days 00:00:01.593419,14,0.37463561156297304,0.03113491593755899,4,18,83,9.317732178555733,5.275397396585648,0.5102460037667214,COMPLETE
9,0.2329197592033195,2024-11-07 14:03:54.154450,2024-11-07 14:03:57.118808,0 days 00:00:02.964358,88,0.9582554252965096,0.03980280635551488,8,94,46,0.07716950037344482,6.8529704779454885,0.6637806543680158,COMPLETE
10,0.23650327448848732,2024-11-07 14:03:57.124582,2024-11-07 14:04:04.754626,0 days 00:00:07.630044,70,0.5456938034729825,0.005655665156197145,4,31,100,7.267106114773679,0.11068019664567207,0.507854252865344,COMPLETE
11,0.24300777129213139,2024-11-07 14:04:04.761648,2024-11-07 14:04:15.172565,0 days 00:00:10.410917,65,0.5432763840928236,0.005384020705779383,4,31,98,9.099553891905085,0.07951700146696683,0.5024305556815618,COMPLETE
12,0.23596390650699872,2024-11-07 14:04:15.178879,2024-11-07 14:04:15.885892,0 days 00:00:00.707013,65,0.48136370827898156,0.15091187756763963,4,1,100,6.352024624664788,0.024998290677810734,0.5015507726789182,COMPLETE
13,0.23771797972806713,2024-11-07 14:04:15.892507,2024-11-07 14:04:29.563414,0 days 00:00:13.670907,95,0.3306524558723467,0.009812497103933704,6,34,86,0.938449847666523,0.29536249586267305,0.5581412906598615,COMPLETE
14,0.2271084197651664,2024-11-07 14:04:29.577594,2024-11-07 14:04:34.719189,0 days 00:00:05.141595,54,0.6111156914601749,0.023493609021948487,6,19,89,1.3043925411686723,0.0039244451183729325,0.5850882372346716,COMPLETE
15,0.2323352163296148,2024-11-07 14:04:34.725878,2024-11-07 14:04:35.983153,0 days 00:00:01.257275,81,0.7725890895284291,0.0791103818272377,4,40,78,1.4382061679894966,6.3081303973494665,0.7508390960422423,COMPLETE
16,0.23063075997314259,2024-11-07 14:04:35.990316,2024-11-07 14:04:40.595753,0 days 00:00:04.605437,15,0.45732326237213916,0.008377084488369935,5,42,94,0.19564788044813186,0.05696868911466102,0.552477477337204,COMPLETE
17,0.23076487746997665,2024-11-07 14:04:40.603328,2024-11-07 14:04:42.262437,0 days 00:00:01.659109,51,0.5695670726954738,0.025374335156492074,4,14,77,4.277195307709416,0.9177082432656483,0.6492366629618157,COMPLETE
18,0.2338604463288641,2024-11-07 14:04:42.270560,2024-11-07 14:04:46.242477,0 days 00:00:03.971917,59,0.30588112378893795,0.014663756914410336,7,2,58,0.3606412825266105,0.0018523148711375248,0.5051823172647905,COMPLETE
19,0.23246979018117023,2024-11-07 14:04:46.250653,2024-11-07 14:04:47.265032,0 days 00:00:01.014379,79,0.4222071912466383,0.10929271038165882,5,25,90,0.041900969095357364,0.13618592086827727,0.711338847975612,COMPLETE
20,0.2304982527728412,2024-11-07 14:04:47.273210,2024-11-07 14:04:49.114434,0 days 00:00:01.841224,37,0.6364653700661381,0.04272244668466477,6,44,94,2.7629256517563983,0.02116032145283054,0.6240790639144781,COMPLETE
21,0.24003904380529684,2024-11-07 14:04:49.122790,2024-11-07 14:04:54.086855,0 days 00:00:04.964065,100,0.3110320709100982,0.009730162958999448,6,34,84,0.7464845921284017,0.43627970470226846,0.5496778209422452,COMPLETE
22,0.25047623352105447,2024-11-07 14:04:54.096198,2024-11-07 14:04:58.895628,0 days 00:00:04.799430,99,0.3724836970198203,0.00829142573909476,7,32,81,9.563614073230701,2.0037425474007504,0.5450904836262437,COMPLETE
23,0.24686617577352693,2024-11-07 14:04:58.904933,2024-11-07 14:05:15.986375,0 days 00:00:17.081442,83,0.5023269960625041,0.0051913250602916815,7,23,77,8.634699163162988,2.0411364155565463,0.5467500988818147,COMPLETE
24,0.2371003433964778,2024-11-07 14:05:15.997800,2024-11-07 14:05:28.173963,0 days 00:00:12.176163,81,0.5123576674405139,0.005003993676763033,7,23,65,3.0302381160395413,2.028752764950784,0.5648497153473755,COMPLETE
